Order	Song	Info	Concert	Date
9	Nookie		Limp Bizkit at Rocklahoma 2023	2023-09-02
10	Heart-Shaped Box	(Nirvana cover)	Limp Bizkit at Rocklahoma 2023	2023-09-02
11	Break Stuff	(with 'Sweet Child O' Mine' intro)	Limp Bizkit at Rocklahoma 2023	2023-09-02
1	Out of Style		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
2	Dirty Rotten Bizkit		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
3	Dad Vibes		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
4	My Generation		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
5	Hot Dog		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
6	Boiler		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
7	Rollin' (Air Raid Vehicle)		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
8	Take a Look Around		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
9	My Way		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
10	Nookie		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
11	Full Nelson		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
12	Break Stuff		Limp Bizkit at Riverside Aarburg 2023	2023-08-26
1	Out of Style		Limp Bizkit at Vilar de Mouros 2023	2023-08-23
2	Thieves	(Ministry cover)	Limp Bizkit at Vilar de Mouros 2023	2023-08-23
3	Dirty Rotten Bizkit		Limp Bizkit at Vilar de Mouros 2023	2023-08-23
4	My Generation		Limp Bizkit at Vilar de Mouros 2023	2023-08-23
5	Hot Dog		Limp Bizkit at Vilar de Mouros 2023	2023-08-23
6	Rollin' (Air Raid Vehicle)		Limp Bizkit at Vilar de Mouros 2023	2023-08-23
7	Heart-Shaped Box	(Nirvana cover) (short version)	Limp Bizkit at Vilar de Mouros 2023	2023-08-23
8	Take a Look Around		Limp Bizkit at Vilar de Mouros 2023	2023-08-23
9	Dad Vibes	(With 2 fans on stage only taking selfies/videos)	Limp Bizkit at Vilar de Mouros 2023	2023-08-23
10	My Way		Limp Bizkit at Vilar de Mouros 2023	2023-08-23
11	Nookie		Limp Bizkit at Vilar de Mouros 2023	2023-08-23
12	Full Nelson	(With "the airport guy")	Limp Bizkit at Vilar de Mouros 2023	2023-08-23
